file,problem_size,basic_time_ms,efficient_time_ms,basic_memory_kb,efficient_memory_kb
in1.txt,16,0.0514984130859375,0.03337860107421875,14444.0,10224.0
in2.txt,64,0.2639293670654297,0.3299713134765625,14444.0,10184.0
in3.txt,128,1.4836788177490234,0.7851123809814453,14444.0,10296.0
in4.txt,256,3.1473636627197266,3.031492233276367,14444.0,10732.0
in5.txt,384,7.128715515136719,7.300138473510742,14444.0,11404.0
in6.txt,512,12.889862060546875,12.502908706665039,14444.0,12552.0
in7.txt,768,30.441999435424805,38.10524940490723,15872.0,15764.0
in8.txt,1024,54.31509017944336,52.23226547241211,20316.0,20420.0
in9.txt,1280,84.52820777893066,91.88961982727051,26184.0,26224.0
in10.txt,1536,176.4814853668213,219.2084789276123,33236.0,33076.0
in11.txt,2048,332.1995735168457,376.0721683502197,51152.0,20936.0
in12.txt,2560,349.93600845336914,488.7855052947998,74460.0,28468.0
in13.txt,3072,488.6360168457031,694.812536239624,102596.0,33824.0
in14.txt,3584,698.345422744751,952.1834850311279,136128.0,43404.0
in15.txt,3968,839.5195007324219,1197.2839832305908,164692.0,49208.0
